Sweet and sour pork stir-fry: Add the pork and stir to coat.	Sweet and sour pork stir-fry: Add the chicken breast and stir to coat.	Sweet and sour pork stir-fry: Add the brown rice syrup and stir to coat.
Classic jacket potatoes: Cut a cross on top of each potato squeeze the sides add the soured cream and your favourite toppings.	Classic jacket potatoes: Cut a cross on top of each potato squeeze the sides add the cream and your favourite toppings.	Classic jacket potatoes: Cut a cross on top of each potato squeeze the sides add the plantain and your favourite toppings.
Pumpkin risotto: Once the rice is soft enough to eat gently stir in the grated cheese chopped coriander and roasted pumpkin.	Pumpkin risotto: Once the rice is soft enough to eat gently stir in the feta cheese cheese chopped coriander and roasted pumpkin.	Pumpkin risotto: Once the rice is soft enough to eat gently stir in the plant-based ham cheese chopped coriander and roasted pumpkin.
Homemade falafels: Add the egg then squish the mixture together with your hands.	Homemade falafels: Add the ground flex seeds mixed with water then squish the mixture together with your hands.	Homemade falafels: Add the baking powder then squish the mixture together with your hands.
Beef massaman curry: Bring to a simmer then cover and cook for 2 hrs in the oven until the beef is tender.	Beef massaman curry: Bring to a simmer then cover and cook for 2 hrs in the oven until the any soy bean derived product e.g. tempeh is tender.	Beef massaman curry: Bring to a simmer then cover and cook for 2 hrs in the oven until the kalabasu is tender.
Mushroom Risotto Delia Smith Christmas cookbook:  Now stir in the rice and cook for 1 or 2 minutes stirring the grains to get them nicely coated with the buttery juice.	Mushroom Risotto Delia Smith Christmas cookbook:  Now stir in the long grain rice  and cook for 1 or 2 minutes stirring the grains to get them nicely coated with the buttery juice.	Mushroom Risotto Delia Smith Christmas cookbook:  Now stir in the ackee and cook for 1 or 2 minutes stirring the grains to get them nicely coated with the buttery juice.
Mixed-veg pasta: Serve just as it is with a sprinkling of cheese or spoon into a large baking tray (40cm x 60cm) grate over the cheese and bake for 30 minutes or until golden and bubbling.	Mixed-veg pasta: Serve just as it is with a sprinkling of feta cheese or spoon into a large baking tray (40cm x 60cm) grate over the feta cheese and bake for 30 minutes or until golden and bubbling.	Mixed-veg pasta: Serve just as it is with a sprinkling of star fruit or spoon into a large baking tray (40cm x 60cm) grate over the star fruit and bake for 30 minutes or until golden and bubbling.
Butternut squash & sage risotto: While the squash is roasting prepare the risotto.	Butternut squash & sage risotto: While the squash is roasting prepare the orzo.	Butternut squash & sage risotto: While the squash is roasting prepare the millet flour.
Aubergine Parmigiana (Melanzane alla Parmigiana): Repeat these layers until you’ve used all the ingredients up finishing with a little sauce and another good sprinkling of Parmesan.	Aubergine Parmigiana (Melanzane alla Parmigiana): Repeat these layers until you’ve used all the ingredients up finishing with a little sauce and another good sprinkling of vegan parmesan.	Aubergine Parmigiana (Melanzane alla Parmigiana): Repeat these layers until you’ve used all the ingredients up finishing with a little sauce and another good sprinkling of herring.
Lasagna: Return the browned ground beef to the pan.	Lasagna: Return the browned mushrooms to the pan.	Lasagna: Return the browned hummus to the pan.
Quorn Swedish Style Balls in Blue Cheese Sauce: Add the vegetable stock and milk and continue stirring over the heat until the sauce has thickened	Quorn Swedish Style Balls in Blue Cheese Sauce: Add the vegetable stock and oat milk and continue stirring over the heat until the sauce has thickened	Quorn Swedish Style Balls in Blue Cheese Sauce: Add the vegetable stock and beef stock cube and continue stirring over the heat until the sauce has thickened
Wild garlic ravioli: Drain loosely add straight to the pan of saffron butter and toss well to coat.	Wild garlic ravioli: Drain loosely add straight to the pan of saffron margarine and toss well to coat.	Wild garlic ravioli: Drain loosely add straight to the pan of saffron apple and toss well to coat.
Easy spaghetti bolognese: Add a tablespoon of olive oil and once hot add the beef mince and a pinch of salt and pepper.	Easy spaghetti bolognese: Add a tablespoon of olive oil and once hot add the pork mince and a pinch of salt and pepper.	Easy spaghetti bolognese: Add a tablespoon of olive oil and once hot add the goat and a pinch of salt and pepper.
Sausage and Mash with Onion Gravy and Peas: Add the sausages to the pan and fry for 10 minutes turning occasionally so they don't stick.	Sausage and Mash with Onion Gravy and Peas: Add the sausages to the pan and fry for 10 minutes turning occasionally so they don't stick.	Sausage and Mash with Onion Gravy and Peas: Add the sausages to the pan and fry for 10 minutes turning occasionally so they don't stick.
Gluten free beer battered fish and chips: Pour 1 litre of vegetable oil into a large saucepan or casserole dish.	Gluten free beer battered fish and chips: Pour 1 litre of rapeseed oil into a large saucepan or casserole dish.	Gluten free beer battered fish and chips: Pour 1 litre of kidney bean into a large saucepan or casserole dish.
Three Mushroom Braise: oyster sauce	Three Mushroom Braise: mushroom sauce	Three Mushroom Braise: jerusalem artichoke
Garlic Parmesan Cauliflower Steaks: Serve immediately sprinkled with Parmesan.	Garlic Parmesan Cauliflower Steaks: Serve immediately sprinkled with other hard cheese.	Garlic Parmesan Cauliflower Steaks: Serve immediately sprinkled with beef stock.
Korean Fried Chicken: Place the chicken in a bowl.	Korean Fried Chicken: Place the swap out for a variety of veg  in a bowl.	Korean Fried Chicken: Place the double cream in a bowl.
Tortilla de Patatas: Beat eggs together.	Tortilla de Patatas: Beat soft tofu together.	Tortilla de Patatas: Beat agar together.
Chinese Mixed Vegetable Stir Fry: Heat the 15ml (1 tbsp) oil in a large wok and fry the broccoli for 1 minute.	Chinese Mixed Vegetable Stir Fry: Heat the 15ml (1 tbsp) oil in a large wok and fry the cauliflower for 1 minute.	Chinese Mixed Vegetable Stir Fry: Heat the 15ml (1 tbsp) oil in a large wok and fry the cassava flour for 1 minute.
Roasted vegetables: Squeeze the garlic from their skins remove the thyme then scatter over the basil lemon zest and crumbled feta.	Roasted vegetables: Squeeze the garlic from their skins remove the thyme then scatter over the basil lemon zest and crumbled halloumi.	Roasted vegetables: Squeeze the garlic from their skins remove the thyme then scatter over the basil lemon zest and crumbled jambu.
Dumpling Wrapper Bun with juicy filling: Prepare the zucchini and filling	Dumpling Wrapper Bun with juicy filling: Prepare the aubergine and filling	Dumpling Wrapper Bun with juicy filling: Prepare the plant-based mayonnaise and filling
Sweet potato and chickpea curry: Add the chickpeas tomatoes and sweet potato to the pan.	Sweet potato and chickpea curry: Add the lentils tomatoes and sweet potato to the pan.	Sweet potato and chickpea curry: Add the tahini tomatoes and sweet potato to the pan.
Beef massaman curry: Bring to a simmer then cover and cook for 2 hrs in the oven until the beef is tender.	Beef massaman curry: Bring to a simmer then cover and cook for 2 hrs in the oven until the pork is tender.	Beef massaman curry: Bring to a simmer then cover and cook for 2 hrs in the oven until the breadfruit is tender.
Pea and paneer curry: Add the paneer and fry for 4-5 mins&nbsp;flipping regularly until lightly&nbsp;golden.	Pea and paneer curry: Add the chicken and fry for 4-5 mins&nbsp;flipping regularly until lightly&nbsp;golden.	Pea and paneer curry: Add the coconut and fry for 4-5 mins&nbsp;flipping regularly until lightly&nbsp;golden.
Garlic Parmesan Cauliflower Steaks: Serve immediately sprinkled with Parmesan.	Garlic Parmesan Cauliflower Steaks: Serve immediately sprinkled with other hard cheese.	Garlic Parmesan Cauliflower Steaks: Serve immediately sprinkled with cabbage.
Creamy Chickpea and Spinach Curry: Drain the chickpeas and add after 10 minutes.	Creamy Chickpea and Spinach Curry: Drain the lentils and add after 10 minutes.	Creamy Chickpea and Spinach Curry: Drain the rice flour and add after 10 minutes.
skillet chicken & zucchini parmesan: Brown each side of chicken for 3-5 minutes.	skillet chicken & zucchini parmesan: Brown each side of  portobello mushrooms for 3-5 minutes.	skillet chicken & zucchini parmesan: Brown each side of chicory for 3-5 minutes.
Vegan Roasted Aubergine and Chickpea Curry: Cut the aubergines in half length ways then again and cut into 2 inch chunks.	Vegan Roasted Aubergine and Chickpea Curry: Cut the mushrooms in half length ways then again and cut into 2 inch chunks.	Vegan Roasted Aubergine and Chickpea Curry: Cut the cranberry sauce in half length ways then again and cut into 2 inch chunks.
Dishoom's Ruby Chicken Curry: Add the chicken to the curry and simmer for another 5 minutes stirring evenly to coat.	Dishoom's Ruby Chicken Curry: Add the diced chicken breast to the curry and simmer for another 5 minutes stirring evenly to coat.	Dishoom's Ruby Chicken Curry: Add the granulated sugar to the curry and simmer for another 5 minutes stirring evenly to coat.
Lentil Bolognese: Stir in lentils and water.	Lentil Bolognese: Stir in soya mince and water.	Lentil Bolognese: Stir in all purpose seasoning and water.
Quorn Swedish Style Balls in Blue Cheese Sauce: Add the vegetable stock and milk and continue stirring over the heat until the sauce has thickened	Quorn Swedish Style Balls in Blue Cheese Sauce: Add the vegetable stock and oat milk and continue stirring over the heat until the sauce has thickened	Quorn Swedish Style Balls in Blue Cheese Sauce: Add the vegetable stock and broad bean and continue stirring over the heat until the sauce has thickened
Lasagna: Ladle a third of the remaining sauce over the noodles.	Lasagna: Ladle a third of the remaining  ketchup over the noodles.	Lasagna: Ladle a third of the remaining coconut milk over the noodles.
Lentil Bolognese: Stir in tomato paste and cook stirring it in for 1 minutes.	Lentil Bolognese: Stir in tomato puree/more tinned tomatoes  paste and cook stirring it in for 1 minutes.	Lentil Bolognese: Stir in sweetbread paste and cook stirring it in for 1 minutes.
Dhaba Style Saag Paneer with Punjabi Tadka: Add the paneer cubes / American cottage cheese / tofu cubes.&nbsp; &nbsp;	Dhaba Style Saag Paneer with Punjabi Tadka: Add the paneer cubes / American cottage cheese / tofu cubes.&nbsp; &nbsp;	Dhaba Style Saag Paneer with Punjabi Tadka: Add the paneer cubes / American cottage cheese / tofu cubes.&nbsp; &nbsp;
Chicken fajitas: Using tongs place the pepper onion and chicken onto the griddle and cook for 6 to 8 minutes or until the chicken is golden and cooked through.	Chicken fajitas: Using tongs place the pepper onion and sweet potatoes onto the griddle and cook for 6 to 8 minutes or until the sweet potatoes is golden and cooked through.	Chicken fajitas: Using tongs place the pepper onion and water chestnut onto the griddle and cook for 6 to 8 minutes or until the water chestnut is golden and cooked through.
Burnt aubergine veggie chilli: Add the aubergine both types of lentils the kidney beans with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.	Burnt aubergine veggie chilli: Add the aubergine both types of lentils the chickpeas with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.	Burnt aubergine veggie chilli: Add the aubergine both types of lentils the meatball with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.
